index;avgpathlength;ID;characters_last_in;charcount;connected_components;filename;author;clustering_coefficient;change_rate_mean;subtitle;final_scene_size_index;maxdegree;title;edgecount;clustering_coefficient_random;component_sizes;segment_count;genretitle;density;year;average_path_length_random;all_in_index;change_rate_std;count_type;avgdegree;spearman_rho_avg;spearman_rho_std;top_rank_char_count;top_rank_char_avg;top_rank_char_std;spearman_rho_content_vs_network;degree_reg_type;degree_reg_val;closeness_reg_type;closeness_reg_val;betweenness_reg_type;betweenness_reg_val;strength_reg_type;strength_reg_val;eigenvector_centrality_reg_type;eigenvector_centrality_reg_val;frequency_reg_type;frequency_reg_val;speech_acts_reg_type;speech_acts_reg_val;words_reg_type;words_reg_val
93;1.7548387096774194;93;HENRIETTE,ROBERT;31;1;1847-Kaiser_Friedrich-Die_Schule_des_Armen_oder_Zwei_Millionen-lina;Kaiser, Friedrich;0.8851094252429068;0.612138787139;Original-Charakterbild mit Gesang in vier Akten;0.06451612903225806;29;Die Schule des Armen oder Zwei Millionen;132;0.2838482142146277;[31];40;;0.2838709677419355;1847;1.773948387096758;0.925;0.210117930055;scenes;8.516129032258064;0.774294989632651;0.14997079980910363;1;1.375;;0.8485155206554884;quadratic;0.5894872534462845;powerlaw;0.41174302976150967;quadratic;0.3400586430824437;quadratic;0.5863932531987972;quadratic;0.44304309995965685;quadratic;0.4672854521290615;quadratic;0.4684949558893611;quadratic;0.5013876475864837
434;1.2941176470588236;434;LEOPOLDINE,HYAZINTH,BARDENRODE,BARONESSE,WILLNER;17;1;1790-Iffland_August_Wilhelm-Figaro_in_Deutschland-lina;Iffland, August Wilhelm;0.8557592734063322;0.583316447146;Ein Lustspiel in fünf Aufzügen;0.29411764705882354;16;Figaro in Deutschland;96;0.7055633879192699;[17];95;Lustspiel;0.7058823529411765;1790;1.2941176470588016;0.8105263157894737;0.205394078395;scenes;11.294117647058824;0.8811115707065825;0.07643913183955889;1;1.75;;0.9030674846625767;exponential;0.6275074892095371;powerlaw;0.663194667885494;quadratic;0.5461157415165582;powerlaw;0.6572922766261596;powerlaw;0.41796890075122994;powerlaw;0.5904809461681091;quadratic;0.5551424977281344;quadratic;0.546712979004357
166;1.2222222222222223;166;ISOLDE,MARKE,HIRT,KURWENAL,DER STEUERMANN,BRANGÄNE,MELOT;10;1;1859-Wagner_Richard-Tristan_und_Isolde-lina;Wagner, Richard;0.8773809523809526;0.585833333333;;0.7;9;Tristan und Isolde;35;0.7757366666666666;[10];11;;0.7777777777777778;1859;1.2222444444444174;1.0;0.164487841496;scenes;7.0;0.8714188213253042;0.08403744360162964;1;1.125;;0.8506097560975611;exponential;0.47342255320227167;powerlaw;0.45830273492940243;quadratic;0.5057333995916176;powerlaw;0.3860646299238003;powerlaw;0.4154032201864144;powerlaw;0.32860943751058647;quadratic;0.2809119065035949;powerlaw;0.28321858593236404
335;1.898051948051948;335;ERSTER DIENER,SECHSTER DIENER,PAPHNUTIUS,WILLIBALD,ZWEITER DIENER,DRITTER DIENER,NICOLAI,STIMMEN,VIERTER DIENER,FÜNFTER DIENER,RALF,KUNZ,COLOMBINE,FREIMUND,WÄCHTER,NARR,KÖNIG,MATHILDE,GENERAL;56;1;1843-Eichendorff_Joseph_von-Das_Incognito_oder_Die_mehreren_Könige_oder_Alt_und_Neu-lina;Eichendorff, Joseph von;0.9282856476839766;0.92311033265;Ein Puppenspiel;0.3392857142857143;40;Das Incognito oder Die mehreren Könige oder Alt und Neu;491;0.31907791332987734;[56];7;Puppenspiel;0.31883116883116885;1843;1.6830577922077892;1.0;0.0766265107913;acts;17.535714285714285;0.7551411295119814;0.11685676521618645;1;1.5;;0.6398877532297778;powerlaw;0.5787286290984823;quadratic;0.5373204737847734;quadratic;0.2726920437550455;powerlaw;0.551215100961873;quadratic;0.4338526924371494;quadratic;0.2804926005460041;quadratic;0.46266340197611067;powerlaw;0.4540665490842486
259;2.2806516449804297;259;EIN JÄGER;138;1;1799-Tieck_Ludwig-Prinz_Zerbino_oder_die_Reise_nach_dem_guten_Geschmack-lina;Tieck, Ludwig;0.8767120938330638;0.9556630043;Ein deutsches Lustspiel in sechs Akten;0.007246376811594203;76;Prinz Zerbino oder die Reise nach dem guten Geschmack;1161;0.12286448395001698;[138];52;Lustspiel;0.12281815296731197;1799;1.9875844705384522;0.9807692307692307;0.150301839162;scenes;16.82608695652174;0.5492648527216013;0.19885845525043883;1;1.5;;0.3262732222170806;quadratic;0.8664876175821936;powerlaw;0.623860909009325;quadratic;0.5044080062554367;quadratic;0.8396523930383686;quadratic;0.6629076496655762;quadratic;0.7372612383321452;quadratic;0.6178644947581946;quadratic;0.8084468562380129
327;1.5614035087719298;327;GENOVEVA,CASPAR,CONRAD,SIEGFRIED;19;1;1843-Hebbel_Friedrich-Genoveva-lina;Hebbel, Friedrich;0.8425349246556677;0.653626799557;Eine Tragödie in fünf Akten;0.21052631578947367;17;Genoveva;75;0.4381867162077694;[19];44;Tragödie;0.43859649122807015;1843;1.5723099415204687;0.9318181818181818;0.249305412154;scenes;7.894736842105263;0.872919101280776;0.07837307149702828;1;1.0;;0.868686952460485;powerlaw;0.5740883490914402;powerlaw;0.6035088855658816;quadratic;0.48359380405243235;powerlaw;0.4221306297406452;powerlaw;0.3265000951170174;quadratic;0.562613383532061;quadratic;0.37938739927054554;quadratic;0.5057721665958337
49;1.51;49;SYLVESTER,THEISTINER,AGNES,SANTING,EUSTACHE,RUPERT,JOHANN,URSULA,OTTOKAR,GERTRUDE,BARNABE,EIN RITTER,SYLVIUS;25;1;1803-Kleist_Heinrich_von-Die_Familie_Schroffenstein-lina;Kleist, Heinrich von;0.8521146909506042;0.868601190476;Ein Trauerspiel in fünf Aufzügen;0.52;21;Die Familie Schroffenstein;153;0.5101726656071824;[25];13;Trauerspiel;0.51;1803;1.4902500000000076;1.0;0.16360732466;scenes;12.24;0.8804101282083252;0.07147839365521888;1;2.75;;0.8500401296021317;powerlaw;0.7937499915308502;powerlaw;0.7661962526660656;quadratic;0.3327626176965742;powerlaw;0.7305232084272659;powerlaw;0.689782890414991;powerlaw;0.4331532347385094;quadratic;0.6666175058494421;quadratic;0.6790006077205103
364;1.6601307189542485;364;CRESCENCE,STANI;18;1;1917-Hofmannsthal_Hugo_von-Der_Schwierige-lina;Hofmannsthal, Hugo von;0.7552435219101886;0.673680124224;Lustspiel in drei Akten;0.1111111111111111;13;Der Schwierige;63;0.410641050307717;[18];47;Lustspiel;0.4117647058823529;1917;1.6134901960784316;0.7446808510638298;0.159866105572;scenes;7.0;0.8198251385440873;0.08406619397871301;1;1.0;;0.881198347107438;powerlaw;0.6682987438441893;powerlaw;0.7195613582875482;quadratic;0.2953299724501305;quadratic;0.7205853538664797;quadratic;0.5971615162166475;quadratic;0.6929015418901889;quadratic;0.512026073862197;quadratic;0.6574962460749201
383;1.0;383;OLIMPIA,BERNARDO,ELMIRE,ERWIN;4;1;1775-Goethe_Johann_Wolfgang_von-Erwin_und_Elmire-lina;Goethe, Johann Wolfgang von;1.0;;Ein Schauspiel mit Gesang;1.0;3;Erwin und Elmire;6;1.0;[4];1;Schauspiel;1.0;1775;1.0;1.0;;acts;3.0;0.8;0.0;1;1.0;;;powerlaw;0.09998918340488583;powerlaw;0.09998556794097246;quadratic;0.0033670033670032407;powerlaw;0.09998918340488583;powerlaw;0.09998354512098395;powerlaw;0.09998556794097246;powerlaw;0.3987185737152278;powerlaw;0.39951048864584704
91;1.3636363636363635;91;DRITTER KRIEGSMANN,ERNST,KUNRAD,GISELA,HEINRICH,WARIN,RITTER,WERNER,KRIEGSLEUTE,MANGOLD,WARMANN,ADALBERT,HUGO,EIN KRIEGSMANN,WACHE,ANDRER KRIEGSMANN;22;1;1818-Uhland_Ludwig-Ernst_Herzog_von_Schwaben-lina;Uhland, Ludwig;0.9104109985301938;0.804411461554;Trauerspiel in fünf Aufzügen;0.7272727272727273;20;Ernst Herzog von Schwaben;147;0.636068516660967;[22];8;Trauerspiel;0.6363636363636364;1818;1.3636450216450022;1.0;0.147652944632;scenes;13.363636363636363;0.8487899829372607;0.08526360889501816;1;1.125;;0.8680646726752093;exponential;0.601158924426344;exponential;0.5584469730151249;quadratic;0.34530298777520474;powerlaw;0.4736438299638389;powerlaw;0.6262489711406817;quadratic;0.5334547139197934;quadratic;0.4792213606876071;powerlaw;0.489937702636986
