index;degree;closeness;betweenness;strength;eigenvector_centrality;frequency;speech_acts;words;('degree', 'q4');('degree', 'q3');('degree', 'q2');('degree', 'q1');('closeness', 'q4');('closeness', 'q3');('closeness', 'q2');('closeness', 'q1');('betweenness', 'q4');('betweenness', 'q3');('betweenness', 'q2');('betweenness', 'q1');('strength', 'q4');('strength', 'q3');('strength', 'q2');('strength', 'q1');('eigenvector_centrality', 'q4');('eigenvector_centrality', 'q3');('eigenvector_centrality', 'q2');('eigenvector_centrality', 'q1');('frequency', 'q4');('frequency', 'q3');('frequency', 'q2');('frequency', 'q1');('speech_acts', 'q4');('speech_acts', 'q3');('speech_acts', 'q2');('speech_acts', 'q1');('words', 'q4');('words', 'q3');('words', 'q2');('words', 'q1')
327;0.3333333333333333;0.25;0.058823529411764705;0.1;0.3333333333333333;0.07692307692307691;0.08333333333333333;0.06666666666666667;0.10526315789473684;0.3157894736842105;0.2631578947368421;0.3157894736842105;0.10526315789473684;0.05263157894736842;0.42105263157894735;0.42105263157894735;0.05263157894736842;0.0;0.05263157894736842;0.8947368421052632;0.05263157894736842;0.10526315789473684;0.3157894736842105;0.5263157894736842;0.15789473684210525;0.10526315789473684;0.2631578947368421;0.47368421052631576;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.6842105263157895;0.05263157894736842;0.05263157894736842;0.2631578947368421;0.631578947368421;0.05263157894736842;0.0;0.15789473684210525;0.7894736842105263
49;2.25;0.5714285714285714;0.125;0.7999999999999999;0.7999999999999999;0.5384615384615385;0.125;0.05555555555555556;0.36;0.24;0.24;0.16;0.16;0.28;0.28;0.28;0.08;0.08;0.2;0.64;0.32;0.16;0.12;0.4;0.32;0.2;0.08;0.4;0.28;0.12;0.08;0.52;0.08;0.08;0.2;0.64;0.04;0.08;0.16;0.72
364;0.39999999999999997;0.39999999999999997;0.16666666666666666;0.07692307692307691;0.07692307692307691;0.07692307692307691;0.07142857142857142;0.08333333333333333;0.1111111111111111;0.3888888888888889;0.2222222222222222;0.2777777777777778;0.1111111111111111;0.3888888888888889;0.2222222222222222;0.2777777777777778;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.6666666666666666;0.05555555555555555;0.05555555555555555;0.16666666666666666;0.7222222222222222;0.05555555555555555;0.1111111111111111;0.1111111111111111;0.7222222222222222;0.05555555555555555;0.0;0.2222222222222222;0.7222222222222222;0.05555555555555555;0.0;0.16666666666666666;0.7777777777777778;0.05555555555555555;0.05555555555555555;0.2222222222222222;0.6666666666666666
383;;;;;;;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25
91;1.1666666666666667;0.8333333333333334;0.0625;0.33333333333333337;0.8333333333333334;0.15384615384615385;0.08333333333333334;0.14285714285714288;0.3181818181818182;0.4090909090909091;0.0;0.2727272727272727;0.22727272727272727;0.5;0.0;0.2727272727272727;0.045454545454545456;0.13636363636363635;0.09090909090909091;0.7272727272727273;0.09090909090909091;0.5;0.13636363636363635;0.2727272727272727;0.22727272727272727;0.36363636363636365;0.13636363636363635;0.2727272727272727;0.09090909090909091;0.18181818181818182;0.13636363636363635;0.5909090909090909;0.045454545454545456;0.13636363636363635;0.2727272727272727;0.5454545454545454;0.09090909090909091;0.13636363636363635;0.13636363636363635;0.6363636363636364
360;1.0;0.3333333333333333;0.16666666666666666;0.3333333333333333;1.0;1.0;0.6666666666666666;0.3333333333333333;0.25;0.125;0.375;0.25;0.125;0.25;0.25;0.375;0.125;0.0;0.125;0.75;0.125;0.375;0.125;0.375;0.375;0.25;0.0;0.375;0.375;0.0;0.25;0.375;0.25;0.25;0.125;0.375;0.125;0.125;0.375;0.375
75;0.33333333333333337;0.33333333333333337;0.28571428571428575;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.5;0.5;0.2;0.1;0.1;0.6;0.2;0.0;0.2;0.6;0.2;0.0;0.1;0.7;0.2;0.0;0.2;0.6;0.2;0.1;0.1;0.6;0.2;0.0;0.2;0.6;0.3;0.0;0.1;0.6;0.3;0.1;0.0;0.6
54;0.1111111111111111;0.14285714285714285;0.04761904761904762;0.058823529411764705;0.125;0.05263157894736842;0.05263157894736842;0.058823529411764705;0.043478260869565216;0.08695652173913043;0.4782608695652174;0.391304347826087;0.043478260869565216;0.17391304347826086;0.4782608695652174;0.30434782608695654;0.043478260869565216;0.043478260869565216;0.0;0.9130434782608695;0.043478260869565216;0.08695652173913043;0.13043478260869565;0.7391304347826086;0.08695652173913043;0.13043478260869565;0.08695652173913043;0.6956521739130435;0.043478260869565216;0.043478260869565216;0.08695652173913043;0.8260869565217391;0.043478260869565216;0.08695652173913043;0.043478260869565216;0.8260869565217391;0.043478260869565216;0.08695652173913043;0.13043478260869565;0.7391304347826086
31;1.4999999999999998;1.4999999999999998;1.4999999999999998;0.33333333333333337;0.33333333333333337;0.33333333333333337;1.0;0.5;0.6;0.0;0.0;0.4;0.6;0.0;0.0;0.4;0.6;0.0;0.0;0.4;0.2;0.0;0.2;0.6;0.2;0.0;0.2;0.6;0.2;0.2;0.0;0.6;0.4;0.2;0.0;0.4;0.2;0.2;0.2;0.4
206;0.5714285714285714;0.5714285714285714;0.11764705882352941;0.16666666666666666;0.16666666666666666;0.15384615384615383;0.0625;0.058823529411764705;0.19047619047619047;0.23809523809523808;0.23809523809523808;0.3333333333333333;0.19047619047619047;0.19047619047619047;0.2857142857142857;0.3333333333333333;0.09523809523809523;0.09523809523809523;0.0;0.8095238095238095;0.09523809523809523;0.19047619047619047;0.14285714285714285;0.5714285714285714;0.09523809523809523;0.19047619047619047;0.14285714285714285;0.5714285714285714;0.09523809523809523;0.09523809523809523;0.19047619047619047;0.6190476190476191;0.047619047619047616;0.14285714285714285;0.047619047619047616;0.7619047619047619;0.047619047619047616;0.0;0.14285714285714285;0.8095238095238095
394;7.5;3.4999999999999996;0.125;1.6666666666666667;2.9999999999999996;0.18181818181818182;0.18181818181818182;0.2727272727272727;0.75;0.05;0.1;0.1;0.35;0.45;0.1;0.1;0.1;0.1;0.0;0.8;0.25;0.05;0.55;0.15;0.3;0.0;0.6;0.1;0.1;0.2;0.15;0.55;0.1;0.2;0.15;0.55;0.15;0.15;0.15;0.55
442;0.08333333333333333;2.0;0.04545454545454545;0.3636363636363636;0.2727272727272727;0.058823529411764705;0.0625;0.05555555555555555;0.043478260869565216;0.13043478260869565;0.30434782608695654;0.5217391304347826;0.17391304347826086;0.6521739130434783;0.08695652173913043;0.08695652173913043;0.043478260869565216;0.0;0.0;0.9565217391304348;0.17391304347826086;0.043478260869565216;0.30434782608695654;0.4782608695652174;0.13043478260869565;0.30434782608695654;0.08695652173913043;0.4782608695652174;0.043478260869565216;0.13043478260869565;0.08695652173913043;0.7391304347826086;0.043478260869565216;0.043478260869565216;0.21739130434782608;0.6956521739130435;0.043478260869565216;0.0;0.17391304347826086;0.782608695652174
58;0.13333333333333333;0.2222222222222222;0.037037037037037035;0.08695652173913043;0.16666666666666666;0.041666666666666664;0.043478260869565216;0.034482758620689655;0.0625;0.15625;0.3125;0.46875;0.0625;0.21875;0.4375;0.28125;0.03125;0.0625;0.0625;0.84375;0.0625;0.09375;0.125;0.71875;0.125;0.03125;0.09375;0.75;0.03125;0.0625;0.15625;0.75;0.03125;0.03125;0.21875;0.71875;0.03125;0.0;0.0625;0.90625
96;2.0;1.6666666666666665;0.30000000000000004;0.6000000000000001;0.33333333333333337;0.25;0.25;0.11111111111111112;0.26666666666666666;0.5333333333333333;0.06666666666666667;0.13333333333333333;0.3333333333333333;0.0;0.4666666666666667;0.2;0.2;0.06666666666666667;0.06666666666666667;0.6666666666666666;0.2;0.13333333333333333;0.3333333333333333;0.3333333333333333;0.2;0.13333333333333333;0.06666666666666667;0.6;0.13333333333333333;0.13333333333333333;0.2;0.5333333333333333;0.13333333333333333;0.06666666666666667;0.26666666666666666;0.5333333333333333;0.06666666666666667;0.2;0.13333333333333333;0.6
299;12.0;10.0;0.03703703703703704;1.1111111111111112;1.2222222222222223;0.16;0.06666666666666667;0.06060606060606061;0.32432432432432434;0.6486486486486487;0.0;0.02702702702702703;0.2702702702702703;0.2702702702702703;0.43243243243243246;0.02702702702702703;0.02702702702702703;0.0;0.24324324324324326;0.7297297297297297;0.2702702702702703;0.2702702702702703;0.21621621621621623;0.24324324324324326;0.2972972972972973;0.24324324324324326;0.21621621621621623;0.24324324324324326;0.10810810810810811;0.08108108108108109;0.13513513513513514;0.6756756756756757;0.05405405405405406;0.02702702702702703;0.10810810810810811;0.8108108108108109;0.05405405405405406;0.0;0.05405405405405406;0.8918918918918919
